site_id,cf_Status
ST-1779,ACTIVE
ST-1780,ACTIVE
ST-1784,ACTIVE
ST-1788,TEMPORARILY CLOSED
ST-1789,ACTIVE
ST-1799,ACTIVE
ST-1800,ACTIVE
ST-1801,ACTIVE
ST-1805,ACTIVE
ST-1818,ACTIVE
ST-1824,ACTIVE
ST-1825,ACTIVE
ST-1836,ACTIVE
ST-1840,TEMPORARILY CLOSED
ST-1841,ACTIVE
ST-1842,TEMPORARILY CLOSED
ST-1844,ACTIVE
ST-1848,ACTIVE
ST-1859,ACTIVE
ST-1860,ACTIVE
ST-1861,ACTIVE
ST-1862,ACTIVE
ST-1869,ACTIVE
ST-1872,ACTIVE
ST-1879,ACTIVE
ST-1882,ACTIVE
ST-1888,ACTIVE
ST-1889,ACTIVE
ST-1891,TEMPORARILY CLOSED
ST-1894,ACTIVE
ST-1897,ACTIVE
ST-1899,ACTIVE
ST-1909,ACTIVE
ST-1913,ACTIVE
ST-1920,ACTIVE
ST-1921,ACTIVE
ST-1925,ACTIVE
ST-1933,ACTIVE
ST-1934,ACTIVE
ST-1936,ACTIVE
ST-1937,ACTIVE
ST-1941,ACTIVE
ST-1946,ACTIVE
ST-1948,ACTIVE
ST-1949,TEMPORARILY CLOSED
ST-1952,ACTIVE
ST-1960,ACTIVE
ST-1961,TEMPORARILY CLOSED
ST-1965,ACTIVE
ST-1968,ACTIVE
ST-1969,ACTIVE
ST-1970,ACTIVE
ST-1971,ACTIVE
ST-1972,ACTIVE
ST-1974,ACTIVE
ST-1975,ACTIVE
ST-1981,ACTIVE
ST-1985,ACTIVE
ST-1986,ACTIVE
ST-1987,ACTIVE
ST-1988,ACTIVE
ST-1990,ACTIVE
ST-1991,ACTIVE
ST-1992,ACTIVE
ST-1993,ACTIVE
ST-1998,ACTIVE
ST-1999,ACTIVE
ST-2000,ACTIVE
ST-2001,ACTIVE
ST-2002,TEMPORARILY CLOSED
ST-2003,ACTIVE
ST-2004,ACTIVE
ST-2005,TEMPORARILY CLOSED
ST-2006,ACTIVE
ST-2007,ACTIVE
ST-2010,ACTIVE
ST-2016,ACTIVE
ST-2017,ACTIVE
ST-2023,ACTIVE
ST-2028,ACTIVE
ST-2029,ACTIVE
ST-2033,ACTIVE
ST-2035,ACTIVE
ST-2038,ACTIVE
ST-2040,ACTIVE
ST-2046,TEMPORARILY CLOSED
ST-2047,ACTIVE
ST-2048,ACTIVE
ST-2052,ACTIVE
ST-2054,ACTIVE
ST-2057,ACTIVE
ST-2061,ACTIVE
ST-2062,ACTIVE
ST-2063,ACTIVE
ST-2065,ACTIVE
ST-2066,ACTIVE
ST-2067,ACTIVE
ST-2073,ACTIVE
ST-2074,ACTIVE
ST-2077,ACTIVE
ST-2078,ACTIVE
ST-2080,ACTIVE
ST-2095,ACTIVE
ST-2096,ACTIVE
ST-2098,ACTIVE
ST-2100,TEMPORARILY CLOSED
ST-2102,ACTIVE
ST-2104,ACTIVE
ST-2107,ACTIVE
ST-2108,ACTIVE
ST-2109,TEMPORARILY CLOSED
ST-2110,ACTIVE
ST-2113,TEMPORARILY CLOSED
ST-2114,ACTIVE
ST-2115,ACTIVE
ST-2117,ACTIVE
ST-2118,TEMPORARILY CLOSED
ST-2127,ACTIVE
ST-2129,ACTIVE
ST-2131,ACTIVE
ST-2132,ACTIVE
ST-2135,ACTIVE
ST-2136,ACTIVE
ST-2137,ACTIVE
ST-2138,ACTIVE
ST-2141,TEMPORARILY CLOSED
ST-2143,ACTIVE
ST-2144,ACTIVE
ST-2145,ACTIVE
ST-2146,ACTIVE
ST-2149,ACTIVE
ST-2154,ACTIVE
ST-2159,ACTIVE
ST-2161,TEMPORARILY CLOSED
ST-2162,TEMPORARILY CLOSED
ST-2163,ACTIVE
ST-2164,ACTIVE
ST-2165,ACTIVE
ST-2170,ACTIVE
ST-2172,ACTIVE
ST-2173,TEMPORARILY CLOSED
ST-2180,ACTIVE
ST-2183,ACTIVE
ST-2184,ACTIVE
ST-2185,ACTIVE
ST-2188,TEMPORARILY CLOSED
ST-2189,TEMPORARILY CLOSED
ST-2191,ACTIVE
ST-2192,ACTIVE
ST-2194,ACTIVE
ST-2198,ACTIVE
ST-2199,ACTIVE
ST-2200,ACTIVE
ST-2201,ACTIVE
ST-2209,ACTIVE
ST-2211,ACTIVE
ST-2213,ACTIVE
ST-2216,ACTIVE
ST-2217,ACTIVE
ST-2218,ACTIVE
ST-2223,ACTIVE
ST-2225,TEMPORARILY CLOSED
ST-2227,ACTIVE
ST-2228,ACTIVE
ST-2229,ACTIVE
ST-2230,ACTIVE
ST-2234,ACTIVE
ST-2238,ACTIVE
ST-2239,TEMPORARILY CLOSED
ST-2240,TEMPORARILY CLOSED
ST-2242,ACTIVE
ST-2244,ACTIVE
ST-2245,ACTIVE
ST-2246,ACTIVE
ST-2247,ACTIVE
ST-2248,ACTIVE
ST-2250,ACTIVE
ST-2254,ACTIVE
ST-2255,ACTIVE
ST-2256,ACTIVE
ST-2257,ACTIVE
ST-2258,ACTIVE
ST-2261,ACTIVE
ST-2263,TEMPORARILY CLOSED
ST-2268,ACTIVE
ST-2271,ACTIVE
ST-2272,ACTIVE
ST-2273,ACTIVE
ST-2274,TEMPORARILY CLOSED
ST-2280,ACTIVE
ST-2284,TEMPORARILY CLOSED
ST-2285,ACTIVE
ST-2287,ACTIVE
ST-2292,ACTIVE
ST-2293,ACTIVE
ST-2295,ACTIVE
ST-2296,TEMPORARILY CLOSED
ST-2297,ACTIVE
ST-2301,ACTIVE
ST-2304,ACTIVE
ST-2305,TEMPORARILY CLOSED
ST-2308,ACTIVE
ST-2309,ACTIVE
ST-2310,ACTIVE
ST-2315,ACTIVE
ST-2316,TEMPORARILY CLOSED
ST-2317,ACTIVE
ST-2320,ACTIVE
ST-2321,ACTIVE
ST-2324,ACTIVE
ST-2326,ACTIVE
ST-2327,TEMPORARILY CLOSED
ST-2328,ACTIVE
ST-2336,ACTIVE
ST-2339,ACTIVE
ST-2344,ACTIVE
ST-2345,ACTIVE
ST-2346,ACTIVE
ST-2347,ACTIVE
ST-2348,ACTIVE
ST-2349,ACTIVE
ST-2350,TEMPORARILY CLOSED
ST-2351,ACTIVE
ST-2356,ACTIVE
ST-2358,ACTIVE
ST-2361,ACTIVE
ST-2366,ACTIVE
ST-2367,ACTIVE
ST-2368,ACTIVE
ST-2369,ACTIVE
ST-2370,ACTIVE
ST-2372,ACTIVE
ST-2373,ACTIVE
ST-2374,ACTIVE
ST-2375,ACTIVE
ST-2379,ACTIVE
ST-2383,ACTIVE
ST-2384,ACTIVE
ST-2385,ACTIVE
ST-2386,ACTIVE
ST-2387,ACTIVE
ST-2390,ACTIVE
ST-2391,ACTIVE
ST-2392,ACTIVE
ST-2393,ACTIVE
ST-2395,ACTIVE
ST-2397,ACTIVE
ST-2398,ACTIVE
ST-2399,ACTIVE
ST-2400,ACTIVE
ST-2402,ACTIVE
ST-2404,TEMPORARILY CLOSED
ST-2405,ACTIVE
ST-2411,ACTIVE
ST-2412,ACTIVE
ST-2418,ACTIVE
ST-2420,ACTIVE
ST-2423,ACTIVE
ST-2427,ACTIVE
ST-2428,ACTIVE
ST-2431,ACTIVE
ST-2434,ACTIVE
ST-2436,TEMPORARILY CLOSED
ST-2437,ACTIVE
ST-2438,ACTIVE
ST-2442,ACTIVE
ST-2446,ACTIVE
ST-2447,ACTIVE
ST-2448,ACTIVE
ST-2450,ACTIVE
ST-2451,ACTIVE
ST-2455,ACTIVE
ST-2457,ACTIVE
ST-2458,ACTIVE
ST-2465,TEMPORARILY CLOSED
ST-2473,TEMPORARILY CLOSED
ST-2475,TEMPORARILY CLOSED
ST-2476,ACTIVE
ST-2478,ACTIVE
ST-2482,ACTIVE
ST-2484,ACTIVE
ST-2487,ACTIVE
ST-2490,ACTIVE
ST-2501,ACTIVE
ST-2502,ACTIVE
ST-2505,ACTIVE
ST-2506,ACTIVE
ST-2507,ACTIVE
ST-2508,ACTIVE
ST-2510,ACTIVE
ST-2511,ACTIVE
ST-2514,ACTIVE
ST-2516,ACTIVE
ST-2523,ACTIVE
ST-2526,ACTIVE
ST-2528,ACTIVE
ST-2529,ACTIVE
ST-2530,ACTIVE
ST-2532,TEMPORARILY CLOSED
ST-2535,ACTIVE
ST-2537,ACTIVE
ST-2538,ACTIVE
ST-2541,ACTIVE
ST-2542,ACTIVE
ST-2543,ACTIVE
ST-2544,ACTIVE
ST-2546,ACTIVE
ST-2551,TEMPORARILY CLOSED
ST-2555,ACTIVE
ST-2556,ACTIVE
ST-2561,ACTIVE
