site_id,site_name,mgmt_ip,vendor,cpe_type,region,Address,Island Group,City,Zip Code,parent_region
ST-0215,Crame,10.10.3.114,MIKROTIK,RB951,Metro Manila,"Boni Serrano cor. 2nd St., Camp Crame, Q.C.",Luzon,Quezon City,1100,patch01
ST-0216,Baclaran 2,10.10.12.230,MIKROTIK,RB951,Metro Manila,"Quirino Ave., cor. Dimasalang St., Baclaran, Para�aque City",Luzon,Para�aque City,1702,patch01
ST-0217,Nova 3,10.10.3.118,MIKROTIK,RB951,Metro Manila,"Quirino Hi-way cor. Sarmiento St., Novaliches City, Q.C.",Luzon,Quezon City,1123,patch01
ST-0221,Baclaran 3,10.10.14.202,MIKROTIK,RB951,Metro Manila,"G/F C Side Bldg. Roxas Bldv. Corner Aguara st.,",Luzon,Para�aque City,1700,patch01
ST-0222,Calamba 2,10.10.14.2,MIKROTIK,RB951,Laguna,"National Hi-way nr. cor. Halang St., Calamba, Laguna",Luzon,Calamba,4027,patch01
ST-0224,Luisita,10.10.9.70,MIKROTIK,RB951,Tarlac,"Mc Arthur Hi-way, San Miguel, Tarlac City",Luzon,Tarlac,2300,patch01
ST-0226,Legarda,10.10.24.154,MIKROTIK,RB951,Metro Manila,"2108 Legarda St., Quiapo, Manila",Luzon,City of Manila,1001,patch01
ST-0229,Cityland,10.10.18.30,MIKROTIK,RB951,Metro Manila,"LG07 Cityland 10 Tower, Valero cor. Dela Costa St., Salcedo Village, Makati City",Luzon,Makati City,1200,patch01
ST-0232,CBC,10.10.16.70,MIKROTIK,RB951,Metro Manila,"115 G/F Corporate Business Center, Paseo de Roxas cor. Pasay Road, Makati City",Luzon,Makati City,1200,patch01
ST-0234,La Huerta,10.10.7.238,MIKROTIK,RB951,Metro Manila,"Quirino Avenue cor. Dandan St., La Huerta, Para�aque",Luzon,Para�aque City,1700,patch01
ST-0236,UP Manila,10.10.2.38,MIKROTIK,RB951,Metro Manila,"Pedro Gil St. nr. cor. Taft Avenue, Malate, Manila",Luzon,City of Manila,1004,patch01
ST-0243,Merville,10.10.23.62,MIKROTIK,RB951,Metro Manila,"Moreland Bldg., Merville Access Rd. cor. West Service Rd.",Luzon,Pasay City,1300,patch01
ST-0244,Guadalupe 3,10.10.7.250,MIKROTIK,RB951,Metro Manila,"F. Yabut St., nr. cor. EDSA, Guadalupe Nuevo, Makati City",Luzon,Makati City,1200,patch01
ST-0251,Nobel,10.10.7.254,MIKROTIK,RB951,Metro Manila,"G/F, 110 Nobel Plaza, Valero St., Makati City",Luzon,Makati City,1200,patch01
ST-0252,Talon,10.10.13.130,MIKROTIK,RB951,Metro Manila,"J. Aguilar Ave. cor. Alabang-Zapote Road, Talon, Las Pi�as City",Luzon,Las Pi�as,1740,patch01
ST-0254,Salawag 1,10.10.15.102,MIKROTIK,RB951,Cavite,"Molino-Paliparan Road, Salawag, Dasmari�as, Cavite",Luzon,Dasmari�as,4114,patch01
ST-0258,Herrera,10.10.2.246,MIKROTIK,RB951,Metro Manila,"Y-L Bldg., Herrera St. cor. Salcedo St., Legaspi Village, Makati City",Luzon,Makati City,1200,patch01
ST-0270,Binan 3,10.10.20.122,MIKROTIK,RB951,Metro Manila,"Arayat cor. Pinatubo St. nr. cor. Edsa, Cubao Q.C.",Luzon,Quezon City,1109,patch01
ST-0271,Starmall,10.10.32.30,MIKROTIK,RB951,Metro Manila,Shaw Blvd. cor. EDSA Mandaluyong,Luzon,Mandaluyong City,1550,patch01
ST-0276,Hansel,10.10.16.250,MIKROTIK,RB951,Metro Manila,"Aurora Blvd. cor. Imperial, Cubao, Q.C.",Luzon,Quezon City,1109,patch01
ST-0277,Session 3,10.10.36.122,MIKROTIK,RB951,Benguet,"Upper Session Rd., Baguio City",Luzon,Baguio City,2600,patch01
ST-0278,Sagittarius,10.10.8.14,MIKROTIK,RB951,Metro Manila,"G/F Sagittarius Bldg., H.V. Dela Costa St., Salcedo Village, Makati",Luzon,Makati City,1200,patch01
ST-0279,Marina,10.10.2.46,MIKROTIK,RB951,Metro Manila,"A. Mabini St., Malate, Manila",Luzon,City of Manila,1004,patch01
ST-0282,Gatchalian,10.10.2.122,MIKROTIK,RB951,Metro Manila,"Dr. A. Santos Ave. cor. Palanyag St., Para�aque City",Luzon,Para�aque City,1700,patch01
ST-0284,Burgundy,10.10.22.102,MIKROTIK,RB951,Metro Manila,"G/F One Burgundy Plaza, Katipunan Ave., Q.C.",Luzon,Quezon City,1105,patch01
ST-0285,Emerald,10.10.14.206,MIKROTIK,RB951,Metro Manila,"Emerald Ave., Ortigas Ctr., Pasig City",Luzon,Pasig City,1600,patch01
ST-0288,San Fernando 2,10.10.31.234,MIKROTIK,RB951,Pampanga,"Lam Bldg., San Fernando Crossing, San Fernando, Pampanga",Luzon,San Fernando,2000,patch01
ST-0293,Plaridel,10.10.4.214,MIKROTIK,RB951,Bulacan,"Cagayan Valley Road, Banga 1st, Plaridel, Bulacan",Luzon,Bulacan,3017,patch01
ST-0294,Binan 4,10.10.15.150,MIKROTIK,RB951,Laguna,"In front of Perpetual Help Hospital & College, Bi�an, Laguna",Luzon,Bi�an,4024,patch01
