site_id,mgmt_ip,sites_status,tag_location,tag_dctech
ST-0786,10.10.12.70,Active,NCR,na
ST-0792,172.17.13.124,Active,NCR,na
ST-0794,10.10.5.250,Active,NCR,na
ST-0795,10.10.30.226,Active,NCR,na
ST-0797,172.17.12.6,Active,NCR,na
ST-0798,172.17.12.21,Active,NCR,na
ST-0801,172.17.12.138,Active,NCR,na
ST-0802,10.10.0.86,Active,NCR,na
ST-0805,10.10.6.2,Active,NCR,na
ST-0817,172.17.6.86,Active,NCR,na
ST-0819,172.17.3.216,Active,NCR,na
ST-0821,10.10.7.62,Active,NCR,na
ST-0834,10.10.3.194,Active,NCR,na
ST-0835,10.8.35.85,Active,NCR,na
ST-0836,10.10.6.122,Active,NCR,na
ST-0841,10.10.5.214,Active,NCR,na
ST-0850,10.10.34.90,Active,NCR,na
ST-0855,172.17.0.197,Active,NCR,na
ST-0860,172.17.12.155,Active,NCR,na
ST-0868,10.10.18.18,Active,NCR,na
ST-0869,10.10.11.202,Active,NCR,na
ST-0870,10.10.17.202,Active,NCR,na
ST-0871,10.10.2.6,Active,NCR,na
ST-0874,10.10.34.162,Active,NCR,na
ST-0877,10.10.5.190,Active,NCR,na
ST-0896,10.10.18.2,Active,NCR,na
ST-0899,10.10.12.78,Active,NCR,na
ST-0902,10.10.5.150,Active,NCR,na
ST-0906,10.10.19.94,Active,NCR,na
ST-0909,172.17.1.94,Active,NCR,na
ST-0937,10.10.13.142,Active,NCR,na
ST-0940,172.17.8.215,Active,NCR,na
ST-0963,10.8.35.213,Active,NCR,na
ST-1215,10.10.6.166,Active,NCR,na
ST-0974,10.10.8.210,Active,NCR,na
ST-0983,10.8.35.233,Active,NCR,na
ST-0985,10.10.6.126,Active,NCR,na
ST-0986,172.17.6.98,Temporarily Closed,NCR,na
ST-0987,10.10.34.62,Active,NCR,na
ST-0988,172.17.13.16,Active,NCR,na
ST-0997,10.10.1.58,Active,NCR,na
ST-1009,10.10.17.62,Active,NCR,na
ST-1015,10.8.36.15,Active,NCR,na
ST-1017,10.10.14.150,Temporarily Closed,NCR,na
